"ET.estat";"i.name.no";"Datakilde";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"Egenskap";"Samsvar m/tilstand";"Ref.verdi"
"f: shrub";"Rein";"MDir & NINA";"2017";"1";"ingen (nasj)";"B1a";"fb, fg, fs";"u";"mod"
"f: shrub";"Store hjortedyr";"MDir & NINA";"1990";"1";"kommune";"B1a";"fb";"u";"mod"
"f: shrub";"Bumblebee abundance and species richness";"NINA (Jens Åström)";"2009";"1";"fylke/region";"B1b";"bm";"p";"exp"
"f: shrub";"Antall arter av pollinerende insekter";"NINA (Jens Åström), NIBIO (3Q)";"2020";"5";"fylke/region";"B3";"fs";"p";"??"
"f: shrub";"Antall arter møkkbiller";"NINA (Jens Åström)";"2020";"5";"fylke/region";"B1b";"fs";"p";"??"
"f: shrub";"Gjengroing";"NINA (Zander Venter)";"2010";"Inf";"~10 m";"B2";"fs";"n";"mdc"
"f: shrub";"Normalisert årlig maksimal NDVI";"NASA*";"2000";"1";"~100 m";"B2";"pr";"u";"mdc"
"f: shrub";"NDVI flerårig trend";"NASA*";"2000";"1";"~100 m";"B2";"pr, fd";"u";"zer"
"f: shrub";"Slitasje";"NINA (Anders Kolstad)";"2019";"5";"fylke/region";"B3";"pr";"n";"zer"
"f: shrub";"Biomasse klovdyr";"NTNU (James Speed)";"1999";"10";"kommune";"B3";"fb";"u";"mod"
"f: shrub";"Biomasse rovdyr";"NTNU (James Speed)";"1907";"10";"kommune";"B3";"fb";"u";"mod"
"f: shrub";"Konnektivitet";"Statens kartverk*/NIBIO";"2021";"Inf";"kommune";"C1";"lm";"p";"mod"
"f: shrub";"Areal uten tekniske inngrep";"MDir*/NIBIO";"1988";"5";"kommune";"C1";"lm";"p";"zer"
"f: shrub";"Funksjonelle plantegrupper";"Mdir/NINA";"2019";"5";"fylke/region";"B3";"fg";"u";"mod"
"g: SVL";"Areal av isbreer";"NVE (Liss Marie Andreassen)";"1966";"Inf";"ingen (nasj)";"A1";"af";"p";"sta"
"g: SVL";"Fravær av fremmede plantearter";"MDir";"2019";"1";"fylke/region";"B1a";"fs";"p";"zer"
"g: SVL";"Kongeørn";"MDir & NINA";"2010";"5";"ingen (nasj)";"B1a";"fb, fg";"p";"??"
"g: SVL";"Jerv";"MDir & NINA";"1990";"5";"fylke/region";"B1a";"fb, fg";"p";"mod"
"g: SVL";"Fjellrev";"MDir & NINA";"2010";"1";"kommune";"B1a";"fb, fg";"p";"sta (+mod)"
"g: SVL";"Fjellrype";"MDir";"2010";"1";"fylke/region";"B1a";"fb, fg";"p";"exp"
"g: SVL";"Naturindeks (modifisert)";"MDir & NINA";"1990";"5";"fylke/region";"B1b";"bm";"p";"na"
"g: SVL";"Ellenberg F";"MDir";"2019";"1";"fylke/region";"A1";"af";"u";"mod"
"g: SVL";"Ellenberg L";"MDir";"2019";"1";"fylke/region";"B3";"af";"u";"mod"
"g: SVL";"Ellenberg R";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"A2";"fg, bm";"u";"mod"
"g: SVL";"Vegetasjonens varmekrav";"MDir";"2019";"1";"fylke/region";"A1";"af";"n";"mod"
"g: SVL";"Ellenberg N";"MDir";"2019";"1";"fylke/region";"A2";"pr, af";"u";"mod"
