"ET.estat";"i.name.no";"Datakilde";"Dev.status";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"Egenskap";"Samsvar m/tilstand";"Ref.verdi"
"g: SVL";"Planteindikator på fosfor";"NINA (Joachim Töpper)";"p1";"2019";"5";"fylke/region";"A2";"fg, bm";"u";"mod"
"g: SVL";"Planteindikator på jordforstyrrelse";"NINA (Joachim Töpper)";"p1";"2019";"5";"fylke/region";"B3";"fg, bm";"u";"mod"
"g: SVL";"Smågnagere";"MDir";"p1";"1990";"1";"fylke/region";"B1a";"fb, fg, fs";"p";"mod"
"g: SVL";"Bumblebee abundance and species richness";"NINA (Jens Åström)";"p1";"2009";"1";"fylke/region";"B1b";"bm";"p";"exp"
"g: SVL";"Normalisert årlig maksimal NDVI";"NASA*";"p1";"2000";"1";"~100 m";"B2";"pr";"u";"mdc"
"g: SVL";"NDVI flerårig trend";"NASA*";"p1";"2000";"1";"~100 m";"B2";"pr, fd";"u";"zer"
"g: SVL";"Slitasje";"NINA (Anders Kolstad)";"p2";"2019";"5";"fylke/region";"B3";"pr";"p";"zer"
"g: SVL";"Biomasse klovdyr";"NTNU (James Speed)";"p2";"1999";"10";"kommune";"B3";"fb";"u";"mod"
"g: SVL";"Biomasse rovdyr";"NTNU (James Speed)";"p2";"1907";"10";"kommune";"B3";"fb";"u";"mod"
"g: SVL";"Konnektivitet";"Statens kartverk*";"1";"2021";;"ingen (nasj)";"C1";"lm";"u";"mod"
"g: SVL";"Areal uten tekniske inngrep";"MDir*";"3";"1988";"5";"fylke/region";"C1";"lm";"p";"zer"
"h: wet";"Fravær av fremmede plantearter";"MDir";"2";"2019";"5";"fylke/region";"B1a";"fs";"p";"zer"
"h: wet";"Jerv";"MDir & NINA";"1";"1990";"5";"fylke/region";"B1a";"fb, fg";"p";"mod"
"h: wet";"Lirype";"NINA";"1";"2015";"1";"fylke/region";"B1a";"fb, fg";"p";"exp"
"h: wet";"Naturindeks (modifisert)";"MDir & NINA";"2";"1990";"5";"fylke/region";"B1b";"bm";"p";"na"
"h: wet";"Ellenberg F";"MDir";"2";"2019";"5";"fylke/region";"A1";"af";"u";"mod"
"h: wet";"Ellenberg L";"MDir";"2";"2019";"5";"fylke/region";"B3";"af";"u";"mod"
"h: wet";"Ellenberg R";"NINA (Joachim Töpper)";"2";"2019";"5";"fylke/region";"A2";"fg, bm";"u";"mod"
"h: wet";"Vegetasjonens varmekrav";"MDir";"1";"2019";"5";"fylke/region";"A1";"af";"n";"mod"
"h: wet";"Ellenberg N";"MDir";"2";"2019";"5";"fylke/region";"A2";"pr, af";"u";"mod"
"h: wet";"Rein";"MDir & NINA";"1";"2017";"1";"ingen (nasj)";"B1a";"fb, fg, fs";"u";"mod"
"h: wet";"Gjengroing";"NINA (Zander Venter)";"2";"2010";;"~10 m";"B2";"fs";"n";"mdc"
"h: wet";"Normalisert årlig maksimal NDVI";"NASA*";"2";"2000";"1";"~100 m";"B2";"pr";"u";"mdc"
"h: wet";"NDVI flerårig trend";"NASA*";"1";"2000";"1";"~100 m";"B2";"pr, fd";"u";"zer"
"h: wet";"Slitasje";"NINA (Anders Kolstad)";"2";"2019";"5";"fylke/region";"B3";"pr";"p";"zer"
"h: wet";"Konnektivitet";"Statens kartverk*";"2";"2021";;"ingen (nasj)";"C1";"lm";"u";"mod"
"h: wet";"Areal uten tekniske inngrep";"MDir*";"3";"1988";"5";"fylke/region";"C1";"lm";"p";"zer"
"j: river";"Areal uten tekniske inngrep";"MDir*";"1";"1988";"5";"fylke/region";"C1";"lm";"p";"zer"
"j: river";"Minimum 7-døgns middelvannføring, sommer og vinter";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A1";"af";"p";"exp"
"j: river";"Totalt fosfor (Tot-P)";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"af";"n";"mdc"
"j: river";"Totalt nitrogen (Tot-N)";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"af";"n";"mdc"
"j: river";"Ammoniakk og ammonium";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"af";"n";"exp?, mdc?"
"j: river";"Oksygen (O2)";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"af";"p";"exp"
"j: river";"pH - innsjøer og elver";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"af";"p";"mdc"
