"ET.estat";"i.id0";"i.name.no";"Datakilde";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"Egenskap";"Samsvar m/tilstand";"Ref.verdi"
"e: forest";"fj.01";"NDVI flerårig trend";"NASA*";"2000";"1";"~100 m";"B2";"pr, fd";"u";"zer"
"e: forest";"vs.11, vs.71";"Biomasse klovdyr";"NTNU (James Speed)";"1999";"10";"kommune";"B3";"fb";"u";"mod"
"e: forest";"vs.74";"Biomasse rovdyr";"NTNU (James Speed)";"1907";"10";"kommune";"B3";"fb";"u";"mod"
"e: forest";"fj.11, vs.02";"Konnektivitet";"Statens kartverk*/NIBIO";"2021";"Inf";"kommune";"C1";"lm";"p";"mod"
"e: forest";"sk.13, fj.10, vs.02";"Areal uten tekniske inngrep";"MDir*/NIBIO";"1988";"5";"kommune";"C1";"lm";"p";"zer"
"e: forest";"nb.01";"Volum av levende og såtende døde trær";"NIBIO";"2010";"1";"fylke/region";"B2";"pr";"u";"mod"
"e: forest";"nb.02";"Volumandel døde trær";"NIBIO";"2010";"1";"fylke/region";"B2";"pr";"p";"mod"
"e: forest";"nb.03";"Lauvtreinnblanding i barskog";"NIBIO";"1990";"1";"fylke/region";"B2";"fs";"p";"mod"
"e: forest";"nb.04";"Eldre lauvsuksesjon (MiS)";"NIBIO";"2010";"1";"fylke/region";"B3";"fs";"p";"mod"
"e: forest";"nb.05";"Volum av edellauvtrær";"NIBIO";"1990";"1";"fylke/region";"B2";"fs";"p";"mod"
"e: forest";"nb.06";"Tetthet av store trær";"NIBIO";"1990";"1";"fylke/region";"B3";"fs";"p";"mod"
"e: forest";"nb.07";"Tresjikt";"NIBIO";"1990";"1";"fylke/region";"B2";"fs";"p";"mod"
"e: forest";"nb.08";"Kronedekke";"NIBIO";"1990";"1";"fylke/region";"B2";"fs";"u";"mod"
"e: forest";"nb.09";"Kronetetthet for blåbær";"NIBIO";"1990";"1";"fylke/region";"B1a";"fs";"p";"mod"
"e: forest";"nb.10";"Fremmede treslag";"NIBIO";"2000";"1";"fylke/region";"B1a";"fs";"n";"zer"
"e: forest";"nb.11";"Arealandel årlig brent skog";"DSB";;"1";"kommune";"B3";"fs";"u";"mod"
"e: forest";"nb.12";"Organisk jordkarbon";"NIBIO";"2024";"1";"fylke/region";"A2";"af";"p";"mod"
"e: forest";"nb.13";"C/N-forholdet i jord";"NIBIO";"2024";"1";"fylke/region";"A2";"af";"u";"mod"
"e: forest";"nb.14";"Konnektivitet av skog";"NIBIO";"2000";"1";"kommune";"C1";"lm";"p";"mod"
"e: forest";"nb.15";"Konnektivitet av gammel skog";"NIBIO";"2020";"5";"kommune";"C1";"lm";"p";"mod"
"e: forest";"nb.16";"Funksjonelle plantegrupper";"Mdir/NINA";"2019";"5";"fylke/region";"B3";"fg";"u";"mod"
"e: forest";"nb.17";"Barskogsfugler";"Mdir/NINA";"2010";"1";"fylke/region";"B1a";"bm";"p";"exp"
"e: forest";"nb.18";"Lauvskogsfugler";"Mdir/NINA";"2010";"1";"fylke/region";"B1a";"bm";"p";"exp"
"f: shrub";"sk.04, fj.09, vs.29";"Fravær av fremmede plantearter";"MDir";"2019";"1";"fylke/region";"B1a";"fs";"p";"zer"
"f: shrub";"fj.08";"Kongeørn";"MDir & NINA";"2010";"5";"ingen (nasj)";"B1a";"fb, fg";"p";"??"
"f: shrub";"fj.07";"Jerv";"MDir & NINA";"1990";"5";"fylke/region";"B1a";"fb, fg";"p";"mod"
